Date,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4,utc_time,local_time
2025-01-16 20:32:07.151775,359.999,True,1.03719,1.07155,1.105909,1.098266,2025-01-16 20:38:03.181609,2025-01-16 15:38:03.181609
2025-01-16 20:32:08.151750,360.999,False,0.210495,6.9e-05,0.0,0.0,2025-01-16 20:38:04.181584,2025-01-16 15:38:04.181584
2025-01-16 20:32:08.151775,360.999,True,1.03719,1.07155,1.106047,1.098335,2025-01-16 20:38:04.181609,2025-01-16 15:38:04.181609
2025-01-16 20:32:09.152175,361.999,False,0.285825,6.9e-05,0.0,0.0,2025-01-16 20:38:05.182009,2025-01-16 15:38:05.182009
2025-01-16 20:32:09.152200,361.999,True,1.037328,1.071412,1.106116,1.098335,2025-01-16 20:38:05.182034,2025-01-16 15:38:05.182034
2025-01-16 20:32:10.151800,362.999,False,0.757907,6.9e-05,0.0,0.0,2025-01-16 20:38:06.181634,2025-01-16 15:38:06.181634
2025-01-16 20:32:10.151825,362.999,True,1.03719,1.071137,1.106047,1.098335,2025-01-16 20:38:06.181659,2025-01-16 15:38:06.181659
2025-01-16 20:32:11.151750,363.999,False,1.038912,6.9e-05,0.0,0.0,2025-01-16 20:38:07.181584,2025-01-16 15:38:07.181584
2025-01-16 20:32:11.151775,363.999,True,1.037397,1.07155,1.105909,1.098473,2025-01-16 20:38:07.181609,2025-01-16 15:38:07.181609
2025-01-16 20:32:12.151975,364.999,False,1.195836,6.9e-05,0.0,0.0,2025-01-16 20:38:08.181809,2025-01-16 15:38:08.181809
2025-01-16 20:32:12.151975,364.999,True,1.037397,1.071619,1.106185,1.098335,2025-01-16 20:38:08.181809,2025-01-16 15:38:08.181809
2025-01-16 20:32:13.151800,365.999,False,1.419277,6.9e-05,0.0,0.0,2025-01-16 20:38:09.181634,2025-01-16 15:38:09.181634
2025-01-16 20:32:13.151800,365.999,True,1.037259,1.071205,1.106047,1.098197,2025-01-16 20:38:09.181634,2025-01-16 15:38:09.181634
2025-01-16 20:32:14.151775,366.999,False,1.718873,6.9e-05,0.0,0.0,2025-01-16 20:38:10.181609,2025-01-16 15:38:10.181609
2025-01-16 20:32:14.151775,366.999,True,1.037328,1.071343,1.105978,1.098335,2025-01-16 20:38:10.181609,2025-01-16 15:38:10.181609
2025-01-16 20:32:15.151775,367.999,False,1.974538,6.9e-05,0.0,0.0,2025-01-16 20:38:11.181609,2025-01-16 15:38:11.181609
2025-01-16 20:32:15.151800,367.999,True,1.037466,1.071481,1.105909,1.098197,2025-01-16 20:38:11.181634,2025-01-16 15:38:11.181634
2025-01-16 20:32:16.151800,368.999,False,2.307736,6.9e-05,0.0,0.0,2025-01-16 20:38:12.181634,2025-01-16 15:38:12.181634
2025-01-16 20:32:16.151825,368.999,True,1.037259,1.071343,1.10584,1.098266,2025-01-16 20:38:12.181659,2025-01-16 15:38:12.181659
2025-01-16 20:32:17.151825,369.999,False,2.538338,6.9e-05,0.0,0.0,2025-01-16 20:38:13.181659,2025-01-16 15:38:13.181659
2025-01-16 20:32:17.151825,369.999,True,1.03719,1.071274,1.105978,1.098266,2025-01-16 20:38:13.181659,2025-01-16 15:38:13.181659
2025-01-16 20:32:18.152000,370.999,False,2.820375,6.9e-05,0.0,0.0,2025-01-16 20:38:14.181834,2025-01-16 15:38:14.181834
2025-01-16 20:32:18.152000,370.999,True,1.037397,1.071274,1.106047,1.098335,2025-01-16 20:38:14.181834,2025-01-16 15:38:14.181834
2025-01-16 20:32:19.151825,371.999,False,3.102412,6.9e-05,0.0,0.0,2025-01-16 20:38:15.181659,2025-01-16 15:38:15.181659
2025-01-16 20:32:19.151900,371.999,True,1.037121,1.071274,1.105978,1.098335,2025-01-16 20:38:15.181734,2025-01-16 15:38:15.181734
2025-01-16 20:32:20.152000,372.999,False,0.210495,6.9e-05,0.0,0.0,2025-01-16 20:38:16.181834,2025-01-16 15:38:16.181834
