Date,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4
2025-01-19 18:31:30.066825,116.999,False,2.30567,6.9e-05,0.0,0.0
2025-01-19 18:31:30.066850,116.999,True,1.040013,1.072858,1.108732,1.100814
2025-01-19 18:31:31.066900,117.999,False,2.538338,6.9e-05,0.0,0.0
2025-01-19 18:31:31.066900,117.999,True,1.039876,1.072927,1.108526,1.100883
2025-01-19 18:31:32.066850,118.999,False,2.820375,6.9e-05,0.0,0.0
2025-01-19 18:31:32.066850,118.999,True,1.039807,1.072858,1.10887,1.100676
2025-01-19 18:31:33.067000,119.999,False,3.102412,6.9e-05,0.0,0.0
2025-01-19 18:31:33.067000,119.999,True,1.039944,1.072789,1.108732,1.100883
2025-01-19 18:31:34.066950,120.999,False,0.211528,6.9e-05,0.0,0.0
2025-01-19 18:31:34.066975,120.999,True,1.039876,1.072858,1.108595,1.100745
2025-01-19 18:31:35.066850,121.999,False,0.285756,6.9e-05,0.0,0.0
2025-01-19 18:31:35.066850,121.999,True,1.039944,1.073065,1.108732,1.100883
2025-01-19 18:31:36.066950,122.999,False,0.757563,6.9e-05,0.0,0.0
2025-01-19 18:31:36.066950,122.999,True,1.039876,1.072789,1.108732,1.100952
2025-01-19 18:31:37.066900,123.999,False,1.03843,6.9e-05,0.0,0.0
2025-01-19 18:31:37.066900,123.999,True,1.040013,1.072789,1.108732,1.100814
2025-01-19 18:31:38.066900,124.999,False,1.195974,6.9e-05,0.0,0.0
2025-01-19 18:31:38.066925,124.999,True,1.040082,1.072996,1.108801,1.100883
2025-01-19 18:31:39.066850,125.999,False,1.419277,6.9e-05,0.0,0.0
2025-01-19 18:31:39.066875,125.999,True,1.040013,1.072858,1.108526,1.100814
2025-01-19 18:31:40.066900,126.999,False,1.718804,6.9e-05,0.0,0.0
2025-01-19 18:31:40.066925,126.999,True,1.039738,1.07272,1.108801,1.100607
2025-01-19 18:31:41.066900,127.999,False,1.974538,6.9e-05,0.0,0.0
2025-01-19 18:31:41.066900,127.999,True,1.039876,1.072651,1.108664,1.100676
2025-01-19 18:31:42.067000,128.999,False,2.304431,6.9e-05,0.0,0.0
2025-01-19 18:31:42.067000,128.999,True,1.039807,1.072996,1.108595,1.100814
2025-01-19 18:31:43.066825,129.999,False,2.538338,6.9e-05,0.0,0.0
2025-01-19 18:31:43.066825,129.999,True,1.039738,1.072789,1.108526,1.100676
2025-01-19 18:31:44.066925,130.999,False,2.820375,6.9e-05,0.0,0.0
2025-01-19 18:31:44.066950,130.999,True,1.039669,1.07272,1.108388,1.100745
2025-01-19 18:31:45.066800,131.999,False,3.102412,6.9e-05,0.0,0.0
2025-01-19 18:31:45.066825,131.999,True,1.039807,1.072789,1.108388,1.100883
2025-01-19 18:31:46.066925,132.999,False,0.211528,6.9e-05,0.0,0.0
2025-01-19 18:31:46.066925,132.999,True,1.039738,1.072858,1.108526,1.100745
2025-01-19 18:31:47.066900,133.999,False,0.285756,6.9e-05,0.0,0.0
2025-01-19 18:31:47.066900,133.999,True,1.039807,1.072583,1.108664,1.100745
2025-01-19 18:31:48.066925,134.999,False,0.757563,6.9e-05,0.0,0.0
2025-01-19 18:31:48.066950,134.999,True,1.0396,1.072858,1.108526,1.100676
2025-01-19 18:31:49.066825,135.999,False,1.038498,6.9e-05,0.0,0.0
2025-01-19 18:31:49.066850,135.999,True,1.039738,1.072583,1.108319,1.100814
2025-01-19 18:31:50.066950,136.999,False,1.196318,6.9e-05,0.0,0.0
2025-01-19 18:31:50.066950,136.999,True,1.039669,1.072789,1.108732,1.100814
2025-01-19 18:31:51.066900,137.999,False,1.419277,6.9e-05,0.0,0.0
2025-01-19 18:31:51.066925,137.999,True,1.039738,1.072651,1.108732,1.100607
2025-01-19 18:31:52.066950,138.999,False,1.718804,6.9e-05,0.0,0.0
2025-01-19 18:31:52.066950,138.999,True,1.039669,1.072858,1.108388,1.100676
2025-01-19 18:31:53.066850,139.999,False,1.974538,6.9e-05,0.0,0.0
2025-01-19 18:31:53.066875,139.999,True,1.039876,1.072789,1.108457,1.100676
2025-01-19 18:31:54.066900,140.999,False,2.307185,6.9e-05,0.0,0.0
2025-01-19 18:31:54.066925,140.999,True,1.0396,1.072445,1.108526,1.100607
2025-01-19 18:31:55.066875,141.999,False,2.538338,6.9e-05,0.0,0.0
2025-01-19 18:31:55.066875,141.999,True,1.0396,1.072651,1.108457,1.100745
2025-01-19 18:31:56.066825,142.999,False,2.820375,6.9e-05,0.0,0.0
2025-01-19 18:31:56.066850,142.999,True,1.039669,1.072583,1.108319,1.100676
2025-01-19 18:31:57.066825,143.999,False,3.102412,6.9e-05,0.0,0.0
2025-01-19 18:31:57.066850,143.999,True,1.039807,1.072583,1.108526,1.100401
2025-01-19 18:31:58.066775,144.999,False,0.211528,6.9e-05,0.0,0.0
2025-01-19 18:31:58.066800,144.999,True,1.039531,1.07272,1.108319,1.100538
2025-01-19 18:31:59.066975,145.999,False,0.285756,6.9e-05,0.0,0.0
2025-01-19 18:31:59.066975,145.999,True,1.039738,1.072445,1.108388,1.100814
2025-01-19 18:32:00.066775,146.999,False,0.757563,6.9e-05,0.0,0.0
2025-01-19 18:32:00.067125,146.999,True,1.0396,1.072514,1.108388,1.10047
2025-01-19 18:32:01.066800,147.999,False,1.038498,6.9e-05,0.0,0.0
2025-01-19 18:32:01.066800,147.999,True,1.039531,1.072445,1.108388,1.100607
2025-01-19 18:32:02.066950,148.999,False,1.195423,6.9e-05,0.0,0.0
2025-01-19 18:32:02.066950,148.999,True,1.039531,1.072445,1.108664,1.100676
2025-01-19 18:32:03.066950,149.999,False,1.419345,6.9e-05,0.0,0.0
2025-01-19 18:32:03.066950,149.999,True,1.039531,1.072789,1.108388,1.100538
2025-01-19 18:32:04.066900,150.999,False,1.718735,6.9e-05,0.0,0.0
2025-01-19 18:32:04.066925,150.999,True,1.0396,1.072583,1.108457,1.100607
2025-01-19 18:32:05.066850,151.999,False,1.974538,6.9e-05,0.0,0.0
2025-01-19 18:32:05.066850,151.999,True,1.039669,1.072445,1.108457,1.100538
2025-01-19 18:32:06.066850,152.999,False,2.300919,6.9e-05,0.0,0.0
